,C1_corr,C1_pval,C1_qval,C1_ci_low,C1_ci_high,C5_1_corr,C5_1_pval,C5_1_qval,C5_1_ci_low,C5_1_ci_high
PF3D7_1005200,0.47942082136364833,5.987130979435685e-272,2.917418484057059e-270,0.4567382316414916,0.5014804523958597,-0.47938366860434894,6.71520341442785e-272,3.272194751166348e-270,-0.5014443434433284,-0.4567000545587281
PF3D7_1141900,0.47678666419568516,1.9674168478236394e-268,9.49467803771812e-267,0.4540316562255952,0.4989201114189661,-0.4767466745502919,2.2234033573187535e-268,1.073005908690656e-266,-0.49888123941390056,-0.4539905704207557
PF3D7_0816800,0.47392323032711464,1.1959968654381948e-264,5.610007726761028e-263,0.4510899771354997,0.49613648036057223,-0.4738710637486733,1.4005261265460594e-264,6.569383765546422e-263,-0.4960857634090002,-0.4510363896720563
PF3D7_0825700,0.4737119857930338,2.2661103497187487e-264,1.053111837522074e-262,0.45087297985374214,0.49593110504270327,-0.4736716274964708,2.5602500896460916e-264,1.1898051111049753e-262,-0.4958918677778696,-0.4508315228011191
PF3D7_0903800,0.4703249464854069,5.967589881650053e-260,2.6742262157144303e-258,0.4473940711255429,0.49263783172661907,-0.47028441274174465,6.73541172976397e-260,2.965353637867137e-258,-0.4925984162391892,-0.4473524421538853
PF3D7_0922300,0.46808676384916786,4.639849803550253e-257,2.0075350141395447e-255,0.44509556118098464,0.4904612596520944,-0.4680519671455023,5.1434637012341565e-257,2.2254348548701923e-255,-0.4904274185951735,-0.445059828968735
PF3D7_0920300,0.46565435217960816,6.038258144378875e-254,2.5467241703056787e-252,0.4425979304889687,0.48809548852041185,-0.4656131216327266,6.814909920046395e-254,2.8742884780430972e-252,-0.48805538472029,-0.4425555975313896
PF3D7_1020200,0.4644584845662837,2.0034736879164585e-252,8.379528699710587e-251,0.4413701298417411,0.4869322630442413,-0.46440395865782785,2.349455762913698e-252,9.826598728386541e-251,-0.486879223562525,-0.441314149998644
PF3D7_0722800,0.46382650698009836,1.2670413172534089e-251,5.170146643329154e-250,0.4407213115878682,0.4863175035795883,-0.4637805757029612,1.4485504440093966e-251,5.910792421531025e-250,-0.48627282282430584,-0.44067415729481174
PF3D7_1322900,0.46308760708701024,1.0887704863671257e-250,4.371631256861283e-249,0.43996275242066474,0.48559870665155325,-0.4630462542262793,1.2278363630499622e-250,4.930008564918208e-249,-0.48555847796272467,-0.43992030029502605
PF3D7_1466500,0.457418308315015,1.3171450580919038e-243,5.164649255127551e-242,0.43414371323717776,0.48008263737963297,-0.45739167139649756,1.4208907590354718e-243,5.528256371782196e-242,-0.4800567161713038,-0.43411637735434444
PF3D7_1129600,0.45671150772119257,9.822891772667539e-243,3.792391831309106e-241,0.43341838040921576,0.47939481447730153,-0.45667564105128716,1.0875740211980574e-242,4.198872317225423e-241,-0.4793599100893675,-0.43338157412369727
PF3D7_0805300,0.4559906405587189,7.583270594193436e-242,2.9053767261264777e-240,0.4326786432727458,0.478693273989541,-0.45594503464265096,8.62843697760875e-242,3.305811083253306e-240,-0.47864888980733505,-0.4326318445968303
PF3D7_1026100,0.45322152280553524,1.851508489483803e-238,6.883497117569784e-237,0.4298373308151417,0.4759981275590449,-0.4531757967441057,2.104622230971905e-238,7.824517760924438e-237,-0.47595361938499825,-0.4297904164991051
PF3D7_0915800,0.4510626208741963,7.6670223150059685e-236,2.78846268108804e-234,0.42762246458784137,0.4738965994439501,-0.4510235814099024,8.545925148195445e-236,3.108115820202387e-234,-0.4738585950770635,-0.4275824157106412
PF3D7_1105000,0.4496755288820447,3.5898962752255436e-234,1.2962366478674102e-232,0.4261995640884096,0.4725462328050339,-0.4496536741973523,3.813576355441408e-234,1.3770028581266493e-232,-0.47252495589673027,-0.42617714614305346
PF3D7_0306200,0.44870480707736393,5.236063343752089e-233,1.8638157391696265e-231,0.42520385167799896,0.4716011484464803,-0.4486722121400553,5.728150786805884e-233,2.038977929005584e-231,-0.4715694134516281,-0.425170418592158
PF3D7_1316300,0.4467827282565467,1.0263592706271967e-230,3.6276740699140144e-229,0.4232324579927231,0.4697296778803341,-0.4467382880834317,1.159060654542837e-230,4.096708045880633e-229,-0.469686405375548,-0.42318688025342605
PF3D7_1006600,0.4450028364449899,1.3167071835842619e-228,4.621365982104483e-227,0.4214070982549103,0.4679964666011095,-0.4449639210567011,1.4636158289363756e-228,5.136984507294874e-227,-0.46795856985549333,-0.4213671908958111
PF3D7_0719200,0.44060226175267486,1.872217307904743e-223,6.436067581078018e-222,0.416894929970421,0.46371054463834693,-0.4405651540262962,2.06752523950703e-223,7.107472039099851e-222,-0.46367439911904035,-0.41685688620133754
PF3D7_1465700,0.43948422197157316,3.6997763501372083e-222,1.2632093538325612e-220,0.41574872407499,0.46262146198416315,-0.4394385960447568,4.1777480412482284e-222,1.426402545511895e-220,-0.4625770162815639,-0.41570195032241997
PF3D7_1316000,0.4378611321185497,2.753005315860659e-220,9.211555786869766e-219,0.4140848788516952,0.46104028572491745,-0.43783156629073827,2.9771160929120056e-220,9.895460708824739e-219,-0.4610114820203493,-0.41405457210693963
PF3D7_1145200,0.43748816179167516,7.384116709582912e-220,2.4382159056182e-218,0.4137025657844587,0.4606769259376413,-0.4374504765167611,8.157568719013719e-220,2.6936077237322273e-218,-0.46064021128837784,-0.41366393697684295
PF3D7_0825000,0.4341849644229786,4.3393591410955074e-216,1.3961053544332276e-214,0.41031699090390067,0.45745850465036547,-0.4341548781744708,4.694005260924953e-216,1.5102059233706629e-214,-0.45742918775865127,-0.41028615736613516
PF3D7_0827200,0.43287874448056884,1.3037098208418016e-214,4.1677194845891734e-213,0.40897837701022566,0.4561856403976458,-0.43283579314679715,1.457642595725778e-214,4.6598141324507516e-213,-0.45614378425141044,-0.40893436223998186
PF3D7_0825900,0.4309637406044953,1.8567067863631825e-212,5.824257100473007e-211,0.4070160674019304,0.4543193657277956,-0.430944837787942,1.9495062659937962e-212,6.115357468139289e-211,-0.45430094289062667,-0.40699669873678385
PF3D7_0620700,0.4282812236067881,1.8187460132402244e-209,5.498967614730534e-208,0.4042676566810513,0.4517047633130732,-0.42824196413167503,2.0105996110948337e-209,6.07903581209938e-208,-0.4516664948015575,-0.4042274360502507
PF3D7_1006000,0.42793088685073705,4.44838867457968e-209,1.3369139375877494e-207,0.4039087462173059,0.4513632664953206,-0.42789361095297873,4.892175698934769e-209,1.4702892115541083e-207,-0.4513269307646794,-0.40387055851070464
PF3D7_0625100,0.42756536309475646,1.1296208137517e-208,3.374742181083204e-207,0.40353428496888877,0.4510069585698642,-0.42752204606310384,1.2614192792952558e-208,3.768490096894577e-207,-0.45096473318110847,-0.4034899093175971
PF3D7_0612500,0.4271963236165863,2.890664545504693e-208,8.584760564430801e-207,0.40315623020124963,0.4506472159827494,-0.427157230231969,3.1929518168865614e-208,9.426720687619795e-207,-0.4506091069976537,-0.40311618228244545
PF3D7_0827400,0.42667634541083943,1.0839600790309876e-207,3.163020718986353e-206,0.40262356333973104,0.4501403242095321,-0.42663200059383616,1.2131518543870042e-207,3.5195428654152454e-206,-0.4500970947307594,-0.4025781371617585
PF3D7_0509700,0.4261171538654009,4.4779538710428376e-207,1.2916580734921839e-205,0.4020507444217953,0.4495951891136018,-0.4260779107560921,4.9461353247248724e-207,1.4267042065973639e-205,-0.44955693180519385,-0.40201054567412436
PF3D7_0828000,0.4258996199104943,7.769493077968852e-207,2.228290614761467e-205,0.40182791430278963,0.4493831186045614,-0.425856808851661,8.658987364971525e-207,2.483397576273833e-205,-0.4493413824496248,-0.4017840612854184
PF3D7_1321000,0.4258939265634897,7.88230868293756e-207,2.247801549980887e-205,0.4018220823816831,0.449377568212533,-0.4258535888523108,8.729863789288093e-207,2.48949922491119e-205,-0.4493382432941613,-0.40178076292045956
PF3D7_1246400,0.4229879374634683,1.1885231692313193e-203,3.313998770206662e-202,0.3988456173538075,0.44654430930819045,-0.4229515324483699,1.3019883785933203e-203,3.630377595644375e-202,-0.4465088124302978,-0.3988083326717609
PF3D7_1105100,0.4223844802493788,5.379280078150214e-203,1.4834399292437321e-201,0.39822758889914717,0.4459558959955356,-0.422370718993175,5.567496593301977e-203,1.5353442528451992e-201,-0.44594247756329713,-0.398213495615708
PF3D7_1230100,0.42138429480304057,6.520573072827896e-202,1.788347336203454e-200,0.39720330100265727,0.44498059982576993,-0.4213528062718518,7.052347605519151e-202,1.934193040005498e-200,-0.44494989396717766,-0.3971710546395903
PF3D7_1356000,0.42090402904950647,2.1535458225742604e-201,5.874264393206638e-200,0.3967114832223556,0.44451226543101907,-0.42087149587694317,2.3349020644772728e-201,6.368952968267083e-200,-0.4444805400212016,-0.3966781680185092
PF3D7_0506900,0.4177915756669272,4.713734373759494e-198,1.2651461402084975e-196,0.3935245013848425,0.44147682259685733,-0.4177584160103238,5.113791885635817e-198,1.372519864920116e-196,-0.4414444804812833,-0.3934905508520958
PF3D7_0110000,0.4171362441802919,2.353564100445999e-197,6.15236365632212e-196,0.39285355215223605,0.44083763669335174,-0.41714382076360407,2.3102645421305356e-197,6.039175904663104e-196,-0.4408450267476401,-0.39286130915164624
PF3D7_1221400,0.4152174483672525,2.551069724401671e-195,6.634103081229008e-194,0.3908891765867592,0.43896597654029323,-0.4151848158969393,2.761882258841356e-195,7.182324900064645e-194,-0.43893414391164837,-0.39085577086966167
PF3D7_1309400,0.41271981729983914,1.0811149185584338e-192,2.7684264164514182e-191,0.3883325478480746,0.43652939157483006,-0.4126843867066899,1.1775078195881781e-192,3.015261095159728e-191,-0.4364948244494733,-0.3882962830332656
PF3D7_1331600,0.41162179925485304,1.517392239153012e-191,3.8463594183378623e-190,0.38720871181140143,0.4354581003127093,-0.4115817692168968,1.670448169959118e-191,4.213054957298901e-190,-0.4354190433676116,-0.38716774190699277
PF3D7_1020300,0.4098297155298199,1.1051288082363416e-189,2.7595231286259695e-188,0.385374646150909,0.4337094925469397,-0.40980169351739104,1.181501115073353e-189,2.950225918683164e-188,-0.4336821489203681,-0.38534596921989733
PF3D7_0311700,0.4082767066296803,4.438355097083661e-188,1.1027774372407373e-186,0.3837854122183529,0.43219401416352354,-0.4082674592653575,4.5367413777041475e-188,1.1272230185493621e-186,-0.43218498986938175,-0.3837759495872077
PF3D7_1115100,0.4077625528489268,1.5001839505391435e-187,3.709075491505399e-186,0.3832592974019423,0.4316922558213742,-0.4077227848644519,1.6482095354792885e-187,4.0750559894436205e-186,-0.43165344596341226,-0.38321860493594917
PF3D7_1250100,0.40629744266537837,4.761769189304532e-186,1.1435081129722223e-184,0.38176019077797474,0.4302623859108971,-0.40625829639587985,5.221284412819231e-186,1.2538577257387425e-184,-0.4302241795764619,-0.381720137928541
PF3D7_1362900,0.40561532759790914,2.3663437632435017e-185,5.655561594151969e-184,0.3810622919435948,0.4295966367169382,-0.4055762196136354,2.5938552802644523e-185,6.199314119832042e-184,-0.42955846625385274,-0.38102227987019516
PF3D7_1446100,0.40288742102640684,1.3836588690047085e-182,3.2451326465115106e-181,0.3782715427943679,0.42693391973186307,-0.4028595438215201,1.4762483979786728e-182,3.462285378249981e-181,-0.42690670656415003,-0.3782430256939364
PF3D7_1327100,0.40089617124447025,1.3898987561418386e-180,3.214701316624833e-179,0.37623470322453684,0.4249899921125405,-0.4008523335340935,1.5377596318598522e-180,3.5566892130435936e-179,-0.4249471937075563,-0.3761898645285144
PF3D7_1250400,0.40033312605239474,5.085657419705747e-180,1.1708676417203277e-178,0.3756588103040892,0.4244402874146609,-0.40028411701692934,5.6928214191871225e-180,1.3106546193990903e-178,-0.4243924387325602,-0.3756086838677528
PF3D7_0723100,0.39923589420557754,6.320966998471941e-179,1.4290510524923727e-177,0.37453659625085606,0.4233690017370401,-0.3991997991864524,6.866098073410218e-179,1.55229487524531e-177,-0.4233337591078115,-0.3744996806354646
PF3D7_1234700,0.3980251139969498,1.0075214042773296e-177,2.267600864604447e-176,0.3732983324979836,0.42218677443542907,-0.3979911651546825,1.0886576537526922e-177,2.450212001876575e-176,-0.4221536249982458,-0.3732636143194634
